"--Please Select--","--Please Select--"
"12h","12h"
"15m","15m"
"1d","1d"
"1h","1h"
"2d","2d"
"2h","2h"
"30m","30m"
"3h","3h"
"6h","6h"
"Add Rule","Add Rule"
"Appmerce","Appmerce"
"Auto-Cancel Orders","Auto-Cancel Orders"
"Auto-Cancel Period","Auto-Cancel Period"
"Automatically canceled after payment window expired.","Automatically canceled after payment window expired."
"Cancel Payment Status","Cancel Payment Status"
"Extension by <a href=""http://www.appmerce.com/"" title=""Applications for Ecommerce"" style=""color: #EA7601"">Appmerce</a> | <a href=""http://www.appmerce.com/get-support"" title=""Get support for this extension"" style=""color: #EA7601"">Get Support</a>","Extension by <a href=""http://www.appmerce.com/"" title=""Applications for Ecommerce"" style=""color: #EA7601"">Appmerce</a> | <a href=""http://www.appmerce.com/get-support"" title=""Get support for this extension"" style=""color: #EA7601"">Get Support</a>"
"Map Payment Methods","Map Payment Methods"
"Map the payment methods and their order statuses with auto-cancel periods.","Map the payment methods and their order statuses with auto-cancel periods."
"Order Creation Time","Order Creation Time"
"Order Last Updated Time","Order Last Updated Time"
"Order Status","Order Status"
"Payment Method","Payment Method"
"Settings","Settings"
"Time Reference","Time Reference"
"Timestamp after which to reference the auto-cancel periods (see mappings below).","Timestamp after which to reference the auto-cancel periods (see mappings below)."
