"Add to Cart Button","Add to Cart Button"
Autocomplete,Autocomplete
"Background Color","Background Color"
"Block After Search Results","Block After Search Results"
"Block Search More","Block Search More"
Bold,Bold
"CMS Pages","CMS Pages"
"CMS Search Result Fields","CMS Search Result Fields"
"Category Search Result","Category Search Result"
"Category Search Result Fields","Category Search Result Fields"
"Category Thumbnail Size","Category Thumbnail Size"
Clear,Clear
Color,Color
"Customize your popup","Customize your popup"
"Description Of Search Result","Description Of Search Result"
"Enable search terms highlighting","Enable search terms highlighting"
Font,Font
"Font Size","Font Size"
"Information About The Search Result","Information About The Search Result"
Italic,Italic
"Loading Animation","Loading Animation"
"More results","More results"
NProgress,NProgress
"Name Of Search Result","Name Of Search Result"
"Number of Results Product Search","Number of Results Product Search"
"Number of Results Suggested Search","Number of Results Suggested Search"
"Please save config in order to apply the changes.","Please save config in order to apply the changes."
Preview,Preview
"Price Box","Price Box"
"Product Image","Product Image"
"Product Image Size","Product Image Size"
"Product Search Result Fields","Product Search Result Fields"
"Rating Box","Rating Box"
Ratings,Ratings
"Reviews Rating","Reviews Rating"
SKU:,SKU:
"Search Delay","Search Delay"
"Search Result","Search Result"
"Search Result Header","Search Result Header"
"Search Results","Search Results"
"Short Description","Short Description"
"Show Fields In Popup","Show Fields In Popup"
"Show Popup","Show Popup"
"Show Product Results Grouped By Categories","Show Product Results Grouped By Categories"
Spinner,Spinner
Suggested,Suggested
"Suggested Search Result","Suggested Search Result"
"Suggested Search Results","Suggested Search Results"
"Suggested Searches","Suggested Searches"
"Text Of Suggested Search ","Text Of Suggested Search "
"The Block Header","The Block Header"
