"period","Period"
"country","Country"
"soldByCountry","Sold By Country"
"total_item_count","Total Item Count"
"total_qty_ordered","Total Qty Ordered"
"base_grand_total","Grand Total"
"base_tax_amount","Tax Amount"
"base_shipping_amount","Shipping Amount"
"base_discount_amount","Discount Amount"
"total_sum","Total Sum"
"base_total_invoiced","Total Invoiced"
"count","Count"
"coupon_code","Coupon Code"
"store_id","Store Id"
"product_id","Product Id"
"product_name","Product Name"
"product_price","Product Price"
"qty_ordered","Qty Ordered"
"base_cost","Base Cost"
"newUser","Number of Orders From New Customers"
"returnUser","Number of Orders From Returning Customers"
"newPaid","Amount Spent By New Customers"
"returnPaid","Amount Spent By Returning Customers"
"base_total_refunded","Total Refunded"
"profit","Profit"
"",""
"",""
"",""
"",""
"",""
"",""
